no,name,lat,lng
302,新竹市東大路446巷271弄口,24.8038346,120.9771847
303,新竹市東大路446巷238號前,24.8183818,120.9633801
304,新竹市公道武陵制高點,24.8375818,120.9446999
305,新竹市集會所前,24.7989568,120.9823267
306,新竹市武陵公道五公道五往東大,24.8253572,120.9739226
307,新竹市武陵公道五公道五路,24.8253572,120.9739226
308,新竹市武陵公道五公道五往湳雅街內車道,24.8253572,120.9739226
309,新竹市武陵公道五公道五往湳雅街外車道,24.8253572,120.9739226
310,新竹市武陵公道五武陵往公道五外車道,24.8253572,120.9739226
311,新竹市武陵公道五武陵往公道五內車道,24.7986732,121.0273537
312,新竹市東西向快速道路制高點,24.8253849,120.9688068
313,新竹市武陵路271巷72號全景,24.8256105,120.969765
314,新竹市武陵路271巷96號,24.8254865,120.9688211
315,新竹市武陵路271巷64弄,24.8248004,120.9688701
316,新竹市武陵路271巷57弄,24.8248004,120.9688701
317,新竹市武陵路271巷170號,24.8225798,120.9720034
318,新竹市武陵路271巷22弄底,24.8244718,120.9715811
319,新竹市武陵路271巷31弄,24.8245221,120.9740532
320,新竹市鐵道路259巷30號,24.8225798,120.9720034
321,新竹市鐵道路259巷30號278巷全景,24.8245635,120.9698489
322,新竹市武陵路271巷內,24.8248649,120.9680198
323,新竹市武陵路271巷往金竹路,24.8250435,120.9695543
324,新竹市金竹路186巷口,24.8248902,120.9705343
325,新竹市金竹路170巷口全景,24.8242395,120.9711607
326,新竹市金竹路118巷內,24.8243908,120.9718975
327,新竹市金竹路118巷口全景,24.8245221,120.9740532
328,新竹市東西快速道路朝南內車道,24.8236922,120.9698881
329,新竹市東西快速道路朝南中車道,24.8236922,120.9698881
330,新竹市東西快速道路朝南外車道,24.7986732,121.0273537
331,新竹市東西快速道朝北內車道,24.7986732,121.0273537
332,新竹市東西快速道路朝北中車道,24.7986732,121.0273537
333,新竹市東西快速道路朝北外車道,24.7986732,121.0273537
334,新竹市武陵路247巷內,24.7986732,121.0273537
335,新竹市武陵路247巷武陵路全景,24.7986732,121.0273537
336,新竹市武陵路245巷內,24.8238071,120.9705089
337,新竹市武陵路245巷口,24.8237378,120.9707576
338,新竹市武陵路245巷1弄口,24.8225918,120.9694431
339,新竹市武陵路227巷口,24.8225918,120.9694431
340,新竹市武陵鐵道往農改內,24.8230968,120.9699755
341,新竹市武陵鐵道往農改外,24.8233931,120.9716294
342,新竹市鐵道武陵往湳雅,24.8231186,120.9714809
343,新竹市武陵路201巷口,24.8234491,120.9696279
344,新竹市武陵路195巷口,24.8230348,120.9692508
345,新竹市武陵路201巷底,24.8230348,120.9692508
346,新竹市武陵路195巷底,24.818464,120.971133
347,新竹市武陵路298巷全景,24.8233931,120.9716294
348,新竹市武陵路292巷口全景,24.8231186,120.9714809
349,新竹市武陵路276巷口,24.8225424,120.9719849
350,新竹市鐵道路166巷48號照金竹路107巷18弄,24.822366,120.971444
351,新竹市鐵道路166巷28號牆上,24.8227216,120.9727553
352,新竹市武陵路276巷照鐵道166巷,24.8218464,120.9726931
353,新竹市鐵道路166巷17弄口,24.8223892,120.9716104
354,新竹市鐵道路166巷口,24.8218464,120.9726931
355,新竹市金竹路107巷底,24.822366,120.971444
356,新竹市湳雅街219巷與鐵道路150巷口,24.8227216,120.9727553
357,新竹市鐵道路二段312巷13號,24.823478,120.9660569
358,新竹市鐵道路二段312巷口,24.8233126,120.9662673
359,新竹市鐵道路二段306巷口,24.8238008,120.9669538
360,新竹市鐵道路二段292巷口,24.8235637,120.9676078
361,新竹市鐵道路二段286巷口,24.8233592,120.9665641
362,新竹市武陵湳中制高點(99),24.8203882,120.9668421
363,新竹市湳中武陵往湳中(99),24.820537,120.965704
364,新竹市湳中武陵往武陵(99),24.8194651,120.9672218
365,新竹市湳中街22巷內(99),24.820537,120.965704
366,新竹市湳中街22巷48號往湳中街(99),24.820537,120.965704
367,新竹市湳中街22巷86號往湳中街(99),24.8215825,120.9664686
368,新竹市湳中街30巷31號照湳中街22巷(99),24.821267,120.9654123
369,新竹市湳中街40巷40號(99),24.8209364,120.9672354
370,新竹市湳中街54巷底往40巷(99),24.8209364,120.9672354
371,新竹市湳中街54巷往湳中街(99),24.8226366,120.9652451
372,新竹市湳中街54巷9號(99),24.8210482,120.9651967
373,新竹市湳中街54巷口往鐵道路(99),24.8211763,120.9643371
374,新竹市湳中街87巷2弄口(99),24.8215825,120.9664686
375,新竹市湳中街87巷14弄(99),24.8213374,120.9634696
376,新竹市湳中街68巷底往湳中街,24.8211763,120.9643371
377,新竹市湳中街68巷中往工廠,24.8210418,120.9637509
378,新竹市湳中街68巷54號往湳中街,24.8219633,120.964104
379,新竹市湳中鐵道往北,24.8219633,120.964104
380,新竹市湳中鐵道往湳中街,24.8209162,120.9639729
381,新竹市湳中街87巷14弄49號,24.8210482,120.9651967
382,新竹市湳中街87巷14弄42號,24.8213374,120.9634696
383,新竹市湳中街121巷17號往湳中街,24.8214106,120.9647918
384,新竹市湳中街87巷2弄底,24.8211763,120.9643371
385,新竹市武陵農改往湳雅內,24.8219507,120.971644
